City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
2,Atuona,PF,78.33,clear sky,-9.8,-139.0333,Villa Enata
4,Cavalcante,BR,77.94,scattered clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
5,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
6,Hermanus,ZA,64.36,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Sur,OM,73.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
8,San Luis,AR,75.61,clear sky,-33.295,-66.3356,Huarpes Hotel
9,Punta Arenas,CL,50.11,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
10,Mataura,NZ,53.67,overcast clouds,-46.1927,168.8643,Ellie's Villa
12,Hobart,AU,53.46,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
14,Tezu,IN,60.84,clear sky,27.9167,96.1667,Circuit House
15,Garmsar,IR,52.63,clear sky,35.2182,52.3409,آذین فوم
17,Ishigaki,JP,71.62,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
18,New Norfolk,AU,53.1,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
19,Yining,CN,50.14,few clouds,29.0361,114.5636,Xiushui Hotel
24,Bria,CF,75.58,overcast clouds,6.5423,21.9863,WFP Guesthouse
28,Half Moon Bay,US,66.38,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
29,Busselton,AU,60.35,few clouds,-33.65,115.3333,Observatory Guest House
30,Ponta Do Sol,PT,63.23,broken clouds,32.6667,-17.1,Hotel do Campo
31,Palm Coast,US,66.29,overcast clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
33,Bluff,NZ,54.57,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Sakakah,SA,60.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
36,Vanimo,PG,76.78,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
40,Tubmanburg,LR,75.99,scattered clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
41,Rikitea,PF,76.33,few clouds,-23.1203,-134.9692,People ThankYou
42,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
45,Port Lincoln,AU,58.89,clear sky,-34.7333,135.8667,Port Lincoln Hotel
47,Tagusao,PH,79.48,overcast clouds,9.1924,117.8141,Toledo
48,Hambantota,LK,77.11,overcast clouds,6.1241,81.1185,Bungalow 63
51,Dingle,PH,75.13,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
52,Veraval,IN,76.53,broken clouds,20.9,70.3667,Lords Inn Somnath
53,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
54,Ulladulla,AU,56.3,overcast clouds,-35.35,150.4667,Sandpiper Motel
55,Pacific Grove,US,73.51,clear sky,36.6177,-121.9166,Lovers Point Inn
57,Isangel,VU,79.93,overcast clouds,-19.55,169.2667,Tanna Lodge
58,Ribeira Grande,PT,59.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
61,Flinders,AU,56.48,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
62,Conceicao Do Araguaia,BR,78.8,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
63,Sosandra,GR,52.99,overcast clouds,40.9983,22.0294,Gaia Kaimaktsalan Hotel & Spa
64,Fortuna,US,53.94,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
67,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
69,Muros,ES,52.3,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
70,Saint-Pierre,RE,76.64,light rain,-21.3393,55.4781,Lindsey Hôtel
