City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,20,6.91,few clouds
1,Jamestown,US,42.097,-79.2353,36.72,100,90,9.22,snow
2,Atuona,PF,-9.8,-139.0333,78.33,74,1,18.88,clear sky
3,Sokolka,PL,53.4072,23.5023,35.38,97,100,9.86,overcast clouds
4,Cavalcante,BR,-13.7975,-47.4583,77.94,73,32,4.63,scattered clouds
5,Carnarvon,AU,-24.8667,113.6333,75.27,64,0,14.97,clear sky
6,Hermanus,ZA,-34.4187,19.2345,64.36,83,62,8.59,broken clouds
7,Sur,OM,22.5667,59.5289,73.96,58,0,0.49,clear sky
8,San Luis,AR,-33.295,-66.3356,75.61,19,0,16.24,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,50.11,62,75,29.93,light rain
10,Mataura,NZ,-46.1927,168.8643,53.67,61,94,2.19,overcast clouds
11,Nikolskoye,RU,59.7035,30.7861,24.69,93,97,4.92,overcast clouds
12,Hobart,AU,-42.8794,147.3294,53.46,76,0,9.22,clear sky
13,Hastings,GB,50.8552,0.5729,37.15,67,100,13.51,overcast clouds
14,Tezu,IN,27.9167,96.1667,60.84,49,0,4.23,clear sky
15,Garmsar,IR,35.2182,52.3409,52.63,47,4,1.86,clear sky
16,Pevek,RU,69.7008,170.3133,1.45,84,100,1.45,overcast clouds
17,Ishigaki,JP,24.3448,124.1572,71.62,84,100,27.65,light rain
18,New Norfolk,AU,-42.7826,147.0587,53.1,88,38,2.39,scattered clouds
19,Yining,CN,29.0361,114.5636,50.14,90,12,0.96,few clouds
20,Butaritari,KI,3.0707,172.7902,81.5,78,79,13.24,broken clouds
21,Hasaki,JP,35.7333,140.8333,34.2,48,1,1.43,clear sky
22,Touros,BR,-5.1989,-35.4608,85.1,72,43,11.86,scattered clouds
23,Barrow,US,71.2906,-156.7887,-11.18,70,90,13.8,haze
24,Bria,CF,6.5423,21.9863,75.58,41,88,1.52,overcast clouds
25,Dourbali,TD,11.8091,15.8632,79.39,13,58,6.46,broken clouds
26,Qaanaaq,GL,77.484,-69.3632,-8.3,79,25,7.85,scattered clouds
27,Yellowknife,CA,62.456,-114.3525,18.12,93,90,12.66,light snow
28,Half Moon Bay,US,37.4636,-122.4286,66.38,65,1,0.0,clear sky
29,Busselton,AU,-33.65,115.3333,60.35,85,23,8.59,few clouds
30,Ponta Do Sol,PT,32.6667,-17.1,63.23,76,57,8.52,broken clouds
31,Palm Coast,US,29.585,-81.2078,66.29,34,90,4.61,overcast clouds
32,Fairbanks,US,64.8378,-147.7164,-27.44,75,1,0.0,clear sky
33,Bluff,NZ,-46.6,168.3333,54.57,70,53,18.54,broken clouds
34,Sakakah,SA,29.9697,40.2064,60.37,34,3,4.23,clear sky
35,Ushuaia,AR,-54.8,-68.3,46.06,71,40,20.71,light rain
36,Vanimo,PG,-2.6741,141.3028,76.78,90,100,5.03,overcast clouds
37,Zhigansk,RU,66.7697,123.3711,-8.7,99,100,5.39,overcast clouds
38,Vaini,TO,-21.2,-175.2,80.76,74,20,9.22,few clouds
39,Talnakh,RU,69.4865,88.3972,-15.72,98,66,2.28,broken clouds
40,Tubmanburg,LR,6.8708,-10.8172,75.99,90,27,3.0,scattered clouds
41,Rikitea,PF,-23.1203,-134.9692,76.33,77,12,16.82,few clouds
42,Hilo,US,19.7297,-155.09,78.53,65,40,10.36,scattered clouds
43,Albany,US,42.6001,-73.9662,30.85,74,93,4.94,overcast clouds
44,Port Elizabeth,ZA,-33.918,25.5701,66.49,72,0,24.16,clear sky
45,Port Lincoln,AU,-34.7333,135.8667,58.89,77,1,6.06,clear sky
46,Nuuk,GL,64.1835,-51.7216,41.61,100,75,5.75,light snow
47,Tagusao,PH,9.1924,117.8141,79.48,82,100,4.21,overcast clouds
48,Hambantota,LK,6.1241,81.1185,77.11,88,99,5.53,overcast clouds
49,Kitimat,CA,54.0524,-128.6534,41.38,100,100,5.41,light rain
50,Saskylakh,RU,71.9167,114.0833,-18.44,99,99,4.65,overcast clouds
51,Dingle,PH,10.9995,122.6711,75.13,94,61,7.4,broken clouds
52,Veraval,IN,20.9,70.3667,76.53,48,60,5.57,broken clouds
53,Avarua,CK,-21.2078,-159.775,78.85,61,20,6.91,few clouds
54,Ulladulla,AU,-35.35,150.4667,56.3,72,95,3.62,overcast clouds
55,Pacific Grove,US,36.6177,-121.9166,73.51,35,1,5.75,clear sky
56,Tessalit,ML,20.1986,1.0114,78.17,23,100,8.63,overcast clouds
57,Isangel,VU,-19.55,169.2667,79.93,79,100,6.51,overcast clouds
58,Ribeira Grande,PT,38.5167,-28.7,59.4,72,20,6.91,few clouds
59,Kholodnyy,RU,62.7167,147.95,-7.76,99,100,4.25,overcast clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70,75,17.27,light snow
61,Flinders,AU,-34.5833,150.8552,56.48,79,82,5.03,broken clouds
62,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.8,89,100,2.89,overcast clouds
63,Sosandra,GR,40.9983,22.0294,52.99,99,100,6.53,overcast clouds
64,Fortuna,US,40.5982,-124.1573,53.94,100,90,0.0,overcast clouds
65,Torbay,CA,47.6666,-52.7314,45.37,70,75,13.8,broken clouds
66,Svetlogorsk,BY,52.6333,29.7333,39.99,96,100,8.23,overcast clouds
67,Georgetown,MY,5.4112,100.3354,76.95,88,20,0.0,few clouds
68,Sitka,US,57.0531,-135.33,35.49,64,75,13.8,light rain
69,Muros,ES,42.7762,-9.0603,52.3,80,66,16.44,broken clouds
