City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,2021-11-24 18:27:33,60.9167,-46.05,32.22,98,100,10.36
1,Puerto Ayora,EC,2021-11-24 18:27:34,-0.7393,-90.3518,82.36,69,81,10.51
2,Umm Lajj,SA,2021-11-24 18:27:34,25.0213,37.2685,78.4,55,4,8.81
3,Butaritari,KI,2021-11-24 18:27:35,3.0707,172.7902,82.0,67,70,15.82
4,Dikson,RU,2021-11-24 18:27:35,73.5069,80.5464,8.06,89,99,7.65
5,Ancud,CL,2021-11-24 18:27:36,-41.8697,-73.8203,68.43,87,97,11.03
6,Georgetown,MY,2021-11-24 18:24:41,5.4112,100.3354,81.95,94,40,1.01
7,Mbanza-Ngungu,CD,2021-11-24 18:27:36,-5.25,14.8667,70.72,93,97,3.53
8,Busselton,AU,2021-11-24 18:27:37,-33.65,115.3333,59.09,75,35,12.24
9,Hobart,AU,2021-11-24 18:27:37,-42.8794,147.3294,56.26,86,40,0.0
10,Vaini,TO,2021-11-24 18:27:38,-21.2,-175.2,71.76,100,40,2.3
11,Lebu,CL,2021-11-24 18:27:38,-37.6167,-73.65,61.14,74,91,10.29
12,Mayo,US,2021-11-24 18:27:38,38.8876,-76.5119,50.07,41,1,1.99
13,Pangoa,PE,2021-11-24 18:27:39,-12.1167,-73.0,76.19,88,100,1.77
14,Punta Arenas,CL,2021-11-24 18:27:39,-53.15,-70.9167,55.51,38,20,16.11
15,Petropavlovsk-Kamchatskiy,RU,2021-11-24 18:23:41,53.0452,158.6483,37.99,60,75,8.95
16,Jamestown,US,2021-11-24 18:24:35,42.097,-79.2353,44.71,40,1,5.99
17,Bengkulu,ID,2021-11-24 18:27:40,-3.8004,102.2655,75.56,78,98,4.41
18,Kurchum,KZ,2021-11-24 18:27:41,48.5722,83.6542,30.0,93,100,1.63
19,Victoria,HK,2021-11-24 18:27:41,22.2855,114.1577,68.25,76,4,1.99
20,Cabo San Lucas,MX,2021-11-24 18:25:01,22.8909,-109.9124,83.61,62,1,1.01
21,Anadyr,RU,2021-11-24 18:27:42,64.75,177.4833,-14.01,75,0,11.01
22,Vila Velha,BR,2021-11-24 18:27:17,-20.3297,-40.2925,78.94,81,40,8.99
23,Hithadhoo,MV,2021-11-24 18:27:42,-0.6,73.0833,82.26,74,100,17.98
24,Codrington,AU,2021-11-24 18:27:43,-38.2667,141.9667,55.35,95,28,7.78
25,Gubkinskiy,RU,2021-11-24 18:27:43,64.434,76.5026,-5.49,94,100,11.65
26,Albany,US,2021-11-24 18:27:44,42.6001,-73.9662,42.64,48,2,1.01
27,Lata,PT,2021-11-24 18:27:44,40.1629,-8.3327,53.92,83,7,5.23
28,Kapaa,US,2021-11-24 18:27:45,22.0752,-159.319,73.38,91,20,6.91
29,Ribeira Grande,PT,2021-11-24 18:27:46,38.5167,-28.7,66.6,77,75,28.77
30,Husavik,IS,2021-11-24 18:27:46,66.0449,-17.3389,22.91,79,100,5.32
31,Atuona,PF,2021-11-24 18:25:59,-9.8,-139.0333,77.22,80,73,12.71
32,Cockburn Town,TC,2021-11-24 18:27:47,21.4612,-71.1419,80.2,64,84,17.45
33,Auki,SB,2021-11-24 18:27:47,-8.7676,160.7034,76.86,88,25,4.63
34,High Level,CA,2021-11-24 18:27:48,58.5169,-117.136,-7.49,84,75,5.75
35,Faanui,PF,2021-11-24 18:26:06,-16.4833,-151.75,80.38,73,14,5.26
36,New Glasgow,CA,2021-11-24 18:27:48,45.5834,-62.6486,39.78,92,100,17.96
37,Pontianak,ID,2021-11-24 18:27:49,-0.0333,109.3333,75.18,94,75,3.44
38,Murgab,TM,2021-11-24 18:27:49,37.4966,61.9714,53.47,71,0,4.61
39,Ghanzi,BW,2021-11-24 18:27:50,-21.5667,21.7833,82.02,13,0,5.95
40,Waw,SS,2021-11-24 18:27:50,7.7029,27.9953,83.75,23,11,4.45
41,Mataura,NZ,2021-11-24 18:27:51,-46.1927,168.8643,46.4,91,98,2.37
42,Saint-Philippe,RE,2021-11-24 18:27:51,-21.3585,55.7679,78.39,79,55,10.18
43,Bathsheba,BB,2021-11-24 18:27:52,13.2167,-59.5167,86.61,70,75,14.97
44,Castro,BR,2021-11-24 18:27:52,-24.7911,-50.0119,84.49,36,76,3.96
45,Coquimbo,CL,2021-11-24 18:27:53,-29.9533,-71.3436,65.93,59,0,12.66
46,Chokurdakh,RU,2021-11-24 18:27:53,70.6333,147.9167,-12.62,98,100,5.7
47,Cabra,ES,2021-11-24 18:26:10,37.4725,-4.4421,49.39,76,95,4.88
48,Port Lincoln,AU,2021-11-24 18:28:54,-34.7333,135.8667,60.17,87,3,18.66
49,Saint Anthony,US,2021-11-24 18:28:54,45.0205,-93.218,49.15,58,1,5.01
50,Kruisfontein,ZA,2021-11-24 18:28:55,-34.0033,24.7314,56.88,78,65,5.61
51,Port Alfred,ZA,2021-11-24 18:28:55,-33.5906,26.891,62.49,72,98,10.45
52,Dawei,MM,2021-11-24 18:28:56,14.0833,98.2,73.89,84,83,5.99
53,Flinders,AU,2021-11-24 18:28:56,-34.5833,150.8552,70.21,92,100,1.01
54,Ilulissat,GL,2021-11-24 18:24:53,69.2167,-51.1,30.22,80,75,16.11
55,Komsomolskiy,UZ,2021-11-24 18:28:57,40.4272,71.7189,45.82,56,48,4.61
56,Grand-Santi,GF,2021-11-24 18:28:57,4.25,-54.3833,85.48,60,98,2.37
57,Cape Town,ZA,2021-11-24 18:28:58,-33.9258,18.4232,69.12,47,0,24.16
58,Turbat,PK,2021-11-24 18:28:58,26.0023,63.044,77.5,26,0,1.34
59,Ushuaia,AR,2021-11-24 18:28:59,-54.8,-68.3,49.66,53,40,21.85
60,Kahului,US,2021-11-24 18:28:59,20.8947,-156.47,78.84,68,1,5.75
61,San Carlos,VE,2021-11-24 18:29:00,9.6612,-68.5827,82.83,74,100,2.71
62,Walvis Bay,NA,2021-11-24 18:29:00,-22.9575,14.5053,61.09,88,43,8.05
63,Yellowknife,CA,2021-11-24 18:27:26,62.456,-114.3525,-7.58,82,20,5.01
64,Inuvik,CA,2021-11-24 18:29:01,68.3499,-133.7218,-21.96,76,20,3.44
65,Winton,US,2021-11-24 18:29:02,37.3894,-120.6133,65.5,67,90,5.75
66,Doka,SD,2021-11-24 18:29:02,13.5167,35.7667,83.84,28,2,14.38
67,Ajdabiya,LY,2021-11-24 18:29:02,30.7554,20.2263,67.91,67,70,5.97
68,Owando,CG,2021-11-24 18:29:03,-0.4819,15.8999,73.4,91,97,1.97
69,New Norfolk,AU,2021-11-24 18:29:03,-42.7826,147.0587,55.92,64,45,3.0
70,Yar-Sale,RU,2021-11-24 18:29:04,66.8333,70.8333,3.25,95,99,3.36
71,Cape Girardeau,US,2021-11-24 18:29:04,37.3834,-89.7168,60.28,53,99,8.99
72,Kudahuvadhoo,MV,2021-11-24 18:29:05,2.6708,72.8944,81.73,72,100,18.68
73,San Pedro,PH,2021-11-24 18:29:05,14.35,121.0167,81.1,75,90,4.61
74,Bambous Virieux,MU,2021-11-24 18:29:05,-20.3428,57.7575,77.22,83,20,5.75
75,Tevaitoa,PF,2021-11-24 18:29:06,-16.7833,-151.5,80.37,74,16,5.93
76,Los Llanos De Aridane,ES,2021-11-24 18:29:06,28.6585,-17.9182,67.75,90,40,5.75
77,Kaitangata,NZ,2021-11-24 18:29:07,-46.2817,169.8464,48.83,79,100,3.53
78,Woodland,US,2021-11-24 18:29:08,38.6785,-121.7733,64.27,41,1,11.01
79,Korla,CN,2021-11-24 18:29:08,41.7597,86.1469,28.62,56,1,2.04
80,Zhuhai,CN,2021-11-24 18:29:09,22.2769,113.5678,67.98,63,0,5.75
81,Hilo,US,2021-11-24 18:24:26,19.7297,-155.09,77.61,71,75,6.91
82,Carnarvon,AU,2021-11-24 18:29:09,-24.8667,113.6333,69.87,78,0,9.22
83,Aswan,EG,2021-11-24 18:29:10,24.0934,32.907,72.66,24,75,8.43
84,Tynda,RU,2021-11-24 18:29:10,55.1667,124.7167,-2.72,92,43,2.08
85,Tsaratanana,MG,2021-11-24 18:29:11,-16.7833,47.65,79.14,79,89,6.29
